Province,District,Sector,Cell,Village
Eastern Province,Bugesera,Gashora,Biryogo,Bidudu
Eastern Province,Bugesera,Gashora,Biryogo,Biryogo
Eastern Province,Bugesera,Gashora,Biryogo,Buhoro
Eastern Province,Bugesera,Gashora,Biryogo,Gihanama
Eastern Province,Bugesera,Gashora,Biryogo,Kagarama
Eastern Province,Bugesera,Gashora,Biryogo,Kanyonyomba
Eastern Province,Bugesera,Gashora,Biryogo,Karutete
Eastern Province,Bugesera,Gashora,Biryogo,Kivugiza
Eastern Province,Bugesera,Gashora,Biryogo,Rugunga
Eastern Province,Bugesera,Gashora,Kabuye,Bidudu
Eastern Province,Bugesera,Gashora,Kabuye,Kabuye
Eastern Province,Bugesera,Gashora,Kabuye,Karizinge
Eastern Province,Bugesera,Gashora,Kabuye,Rwagasiga
Eastern Province,Bugesera,Gashora,Kabuye,Rweteto
Eastern Province,Bugesera,Gashora,Kagomasi,Akagako
Eastern Province,Bugesera,Gashora,Kagomasi,Kagomasi
Eastern Province,Bugesera,Gashora,Kagomasi,Kiruhura
Eastern Province,Bugesera,Gashora,Kagomasi,Kuruganda
Eastern Province,Bugesera,Gashora,Kagomasi,Runzenze
Eastern Province,Bugesera,Gashora,Kagomasi,Rushubi
Eastern Province,Bugesera,Gashora,Mwendo,Gaharwa
Eastern Province,Bugesera,Gashora,Mwendo,Gisenyi
Eastern Province,Bugesera,Gashora,Mwendo,Kayovu
Eastern Province,Bugesera,Gashora,Mwendo,Ruhanga
Eastern Province,Bugesera,Gashora,Mwendo,Ruhanura
Eastern Province,Bugesera,Gashora,Mwendo,Rutanga
Eastern Province,Bugesera,Gashora,Ramiro,Dihiro
Eastern Province,Bugesera,Gashora,Ramiro,Kagasa I
Eastern Province,Bugesera,Gashora,Ramiro,Kagasa II
Eastern Province,Bugesera,Gashora,Ramiro,Karusine I
Eastern Province,Bugesera,Gashora,Ramiro,Karusine II
Eastern Province,Bugesera,Gashora,Ramiro,Migina
Eastern Province,Bugesera,Gashora,Ramiro,Munyinya
Eastern Province,Bugesera,Gashora,Ramiro,Rweru I
Eastern Province,Bugesera,Gashora,Ramiro,Rweru II
Eastern Province,Bugesera,Juru,Juru,Ayabakiza
Eastern Province,Bugesera,Juru,Juru,Bisagara
Eastern Province,Bugesera,Juru,Juru,Nyamigende
Eastern Province,Bugesera,Juru,Juru,Rugarama
Eastern Province,Bugesera,Juru,Juru,Rwamakara
Eastern Province,Bugesera,Juru,Juru,Twabagarama
Eastern Province,Bugesera,Juru,Kabukuba,Gikana
Eastern Province,Bugesera,Juru,Kabukuba,Gikurazo
Eastern Province,Bugesera,Juru,Kabukuba,Kabukuba
Eastern Province,Bugesera,Juru,Kabukuba,Kamatongo
Eastern Province,Bugesera,Juru,Kabukuba,Majanja
Eastern Province,Bugesera,Juru,Kabukuba,Mbuye
Eastern Province,Bugesera,Juru,Kabukuba,Rushubi
Eastern Province,Bugesera,Juru,Mugorore,Cyirabo
Eastern Province,Bugesera,Juru,Mugorore,Gatora
Eastern Province,Bugesera,Juru,Mugorore,Kajevuba
Eastern Province,Bugesera,Juru,Mugorore,Mugorore
Eastern Province,Bugesera,Juru,Mugorore,Murambi
